iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.02	14858.254928333974
2	274	0.036	14673.328198629872
3	411	0.048	14658.440153087351
4	548	0.056	14597.070038681048
5	685	0.064	14550.668449917392
6	822	0.071	14474.935910838765
7	959	0.077	14383.673604312404
8	1096	0.083	14234.596213525008
9	1233	0.089	14146.16817396601
10	1370	0.096	14082.106859897087
11	1507	0.103	14068.069418023126
12	1644	0.108	14011.792840174045
13	1781	0.115	14011.792840174045
14	1918	0.121	13953.960654629578
15	2055	0.127	13953.960654629578
16	2192	0.134	13846.881867682623
17	2329	0.14	13846.881867682623
18	2466	0.146	13846.881867682623
19	2603	0.152	13828.149200643853
20	2740	0.163	13808.275778457439
21	2877	0.17	13595.903204198272
22	3014	0.176	13595.903204198272
23	3151	0.183	13560.304876947623
24	3288	0.189	13472.995818891119
25	3425	0.194	13472.995818891119
26	3562	0.198	13448.678932125948
27	3699	0.203	13420.463883696524
28	3836	0.207	13273.156869392938
29	3973	0.211	13163.326983389914
30	4110	0.215	13163.326983389914
31	4247	0.219	13163.326983389914
32	4384	0.223	12998.8924483382
33	4521	0.227	12998.8924483382
34	4658	0.231	12980.062246764044
35	4795	0.235	12962.90030081267
36	4932	0.239	12962.90030081267
37	5069	0.243	12896.399475321221
38	5206	0.247	12835.148638074083
39	5343	0.251	12765.255114026426
40	5480	0.256	12756.719387307083
41	5617	0.26	12531.837080377667
42	5754	0.264	12531.837080377667
43	5891	0.268	12531.837080377667
44	6028	0.272	12480.373915175654
45	6165	0.276	12480.373915175654
46	6302	0.28	12450.101861920668
47	6439	0.283	12350.315960481488
48	6576	0.287	12210.861888903939
49	6713	0.291	12210.861888903939
50	6850	0.296	12210.861888903939
51	6987	0.3	12210.861888903939
52	7124	0.304	12181.018112319942
53	7261	0.308	12181.018112319942
54	7398	0.313	12154.523962109617
55	7535	0.324	12054.911803452937
56	7672	0.33	12049.244012369612
57	7809	0.335	12049.244012369612
58	7946	0.339	12012.010303934463
59	8083	0.344	12002.671979847575
60	8220	0.348	11982.963403117847
61	8357	0.352	11954.80051683578
62	8494	0.356	11954.80051683578
63	8631	0.36	11953.080083228864
64	8768	0.364	11930.293535642293
65	8905	0.368	11898.458511357418
66	9042	0.372	11868.44922169071
67	9179	0.376	11868.44922169071
68	9316	0.38	11820.345218225775
69	9453	0.384	11764.099772735224
70	9590	0.387	11761.090758395883
71	9727	0.391	11749.996866646885
72	9864	0.395	11749.996866646885
73	10001	0.399	11711.02564277569
74	10138	0.403	11711.02564277569
75	10275	0.407	11681.892892334772
76	10412	0.411	11621.286146524975
77	10549	0.415	11615.595530334118
78	10686	0.419	11608.761163837074
79	10823	0.423	11546.918246128522
80	10960	0.427	11463.679442002887
81	11097	0.431	11463.679442002887
82	11234	0.435	11463.679442002887
83	11371	0.439	11463.679442002887
84	11508	0.443	11460.519959663887
85	11645	0.447	11454.938624191605
86	11782	0.451	11430.6445789987
87	11919	0.455	11408.586459026117
88	12056	0.459	11372.140215278132
89	12193	0.463	11313.29545218751
90	12330	0.469	11295.032500703614
91	12467	0.473	11295.032500703614
92	12604	0.477	11266.699333019038
93	12741	0.481	11266.699333019038
94	12878	0.485	11215.530665034754
95	13015	0.489	11212.915277667596
96	13152	0.492	11175.616915831482
97	13289	0.496	11139.592972482198
98	13426	0.5	11114.350933059804
99	13563	0.503	11114.350933059804
100	13700	0.507	11108.743741656233
101	13837	0.511	11069.166478665264
102	13974	0.515	11034.4403215036
103	14111	0.519	11034.4403215036
104	14248	0.523	11034.4403215036
105	14385	0.526	11027.963289420306
106	14522	0.531	11027.963289420306
107	14659	0.534	10928.58470449962
108	14796	0.538	10928.58470449962
109	14933	0.542	10928.476210473531
110	15070	0.545	10928.476210473531
111	15207	0.549	10928.476210473531
112	15344	0.552	10919.297927008896
113	15481	0.556	10908.600837538666
114	15618	0.56	10862.512575035433
115	15755	0.563	10862.512575035433
116	15892	0.567	10862.512575035433
117	16029	0.57	10862.512575035433
118	16166	0.574	10862.512575035433
119	16303	0.578	10862.512575035433
120	16440	0.582	10862.512575035433
121	16577	0.585	10838.927333849824
122	16714	0.589	10831.76315394548
123	16851	0.593	10780.573280966833
124	16988	0.596	10780.573280966833
125	17125	0.6	10780.573280966833
126	17262	0.608	10780.573280966833
127	17399	0.612	10742.411026363934
128	17536	0.615	10742.411026363934
129	17673	0.619	10732.5499687586
130	17810	0.623	10732.5499687586
131	17947	0.627	10692.650627082208
132	18084	0.63	10692.650627082208
133	18221	0.634	10683.452992955621
134	18358	0.638	10683.180757999427
135	18495	0.642	10624.373625154774
136	18632	0.646	10624.373625154774
137	18769	0.65	10622.306766436146
138	18906	0.653	10568.245038066614
139	19043	0.657	10568.245038066614
140	19180	0.66	10451.934693727162
141	19317	0.664	10451.934693727162
142	19454	0.667	10451.934693727162
143	19591	0.671	10451.934693727162
144	19728	0.675	10451.934693727162
145	19865	0.678	10451.934693727162
146	20002	0.682	10399.253978915698
147	20139	0.686	10394.330368004974
148	20276	0.689	10394.330368004974
149	20413	0.694	10373.86525328491
150	20550	0.697	10370.3662028929
151	20687	0.701	10356.917811534538
152	20824	0.704	10327.963242580026
153	20961	0.708	10309.131514419654
154	21098	0.712	10309.131514419654
155	21235	0.715	10285.844433029946
156	21372	0.719	10285.844433029946
157	21509	0.723	10285.844433029946
158	21646	0.726	10275.58554547962
159	21783	0.73	10275.58554547962
160	21920	0.733	10275.58554547962
161	22057	0.737	10226.053655889746
162	22194	0.742	10226.053655889746
163	22331	0.746	10226.053655889746
164	22468	0.75	10211.881460065819
165	22605	0.753	10202.015419879563
166	22742	0.757	10148.555177230774
167	22879	0.76	10148.555177230774
168	23016	0.764	10105.29466065198
169	23153	0.767	10105.29466065198
170	23290	0.771	10099.01175577142
171	23427	0.774	10099.01175577142
172	23564	0.778	10099.01175577142
173	23701	0.781	10038.92745311626
174	23838	0.785	10038.92745311626
175	23975	0.788	10036.868570877694
176	24112	0.792	10036.868570877694
177	24249	0.795	10036.868570877694
178	24386	0.799	9979.864841818746
179	24523	0.802	9968.498391840196
180	24660	0.806	9968.498391840196
181	24797	0.81	9968.498391840196
182	24934	0.813	9957.815547778406
183	25071	0.817	9919.97784837452
184	25208	0.821	9919.97784837452
185	25345	0.825	9913.9477632915
186	25482	0.829	9786.241004158823
187	25619	0.832	9786.241004158823
188	25756	0.836	9786.241004158823
189	25893	0.84	9786.241004158823
190	26030	0.843	9786.241004158823
191	26167	0.847	9741.955927185794
192	26304	0.85	9741.955927185794
193	26441	0.854	9724.373084798091
194	26578	0.858	9719.354243289095
195	26715	0.861	9719.354243289095
196	26852	0.865	9719.354243289095
197	26989	0.874	9711.88835357572
198	27126	0.877	9687.51851523477
199	27263	0.881	9677.358795994189
200	27400	0.884	9657.9486373155
201	27537	0.888	9657.9486373155
202	27674	0.892	9657.9486373155
203	27811	0.895	9655.176974781398
204	27948	0.899	9639.895960337799
205	28085	0.902	9627.916506960095
206	28222	0.906	9624.630642046799
207	28359	0.91	9624.630642046799
