iteration	evaluations	runtime[s]	distance[MIN]
1	137	0.021	14648.681976723961
2	274	0.036	14648.681976723961
3	411	0.051	14631.396657985662
4	548	0.06	14500.022328882136
5	685	0.07	14500.022328882136
6	822	0.083	14249.538092816929
7	959	0.092	14215.70887579259
8	1096	0.105	14107.572802946885
9	1233	0.114	13955.805356462575
10	1370	0.122	13948.985661928577
11	1507	0.13	13735.551771266371
12	1644	0.136	13587.919968602
13	1781	0.141	13398.99146905119
14	1918	0.147	13398.99146905119
15	2055	0.152	13398.99146905119
16	2192	0.157	13317.06609946413
17	2329	0.168	13225.415899239066
18	2466	0.174	13217.586823815285
19	2603	0.179	13138.373502392196
20	2740	0.185	13086.515360727179
21	2877	0.191	12829.632923998395
22	3014	0.196	12829.632923998395
23	3151	0.201	12829.632923998395
24	3288	0.207	12829.632923998395
25	3425	0.212	12643.631418837353
26	3562	0.218	12607.981923525575
27	3699	0.224	12607.981923525575
28	3836	0.229	12456.682772810313
29	3973	0.234	12456.682772810313
30	4110	0.239	12448.566738946263
31	4247	0.244	12448.566738946263
32	4384	0.248	12433.342174331068
33	4521	0.254	12314.70379700817
34	4658	0.258	12244.649549835038
35	4795	0.263	12224.163670812968
36	4932	0.268	12158.872776329259
37	5069	0.272	12158.872776329259
38	5206	0.277	12152.968055945359
39	5343	0.282	12122.89700318527
40	5480	0.287	12035.163204402163
41	5617	0.291	11996.429347441606
42	5754	0.296	11949.231197777219
43	5891	0.301	11898.633762141752
44	6028	0.306	11854.314573670435
45	6165	0.311	11814.122480101812
46	6302	0.321	11800.954592548069
47	6439	0.327	11800.954592548069
48	6576	0.332	11646.858552017653
49	6713	0.337	11646.858552017653
50	6850	0.344	11646.091875098062
51	6987	0.35	11620.890470049228
52	7124	0.357	11465.275683568347
53	7261	0.363	11465.275683568347
54	7398	0.37	11386.15343686386
55	7535	0.376	11386.15343686386
56	7672	0.381	11382.935779484582
57	7809	0.385	11252.491269855302
58	7946	0.39	11251.983331756428
59	8083	0.394	11251.983331756428
60	8220	0.399	11251.983331756428
61	8357	0.403	11207.86802412636
62	8494	0.408	11207.86802412636
